# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.9155 10525.8 -3.45638 8.66214 -209.659
2000 21.9117 10520.4 -3.45737 8.66669 -26.6295
3000 21.9146 10524.6 -3.45594 8.66324 285.701
4000 21.9129 10522.1 -3.45714 8.66521 -36.1583
5000 21.9113 10519.8 -3.45732 8.66707 -12.2369
6000 21.9092 10516.8 -3.45835 8.66956 -70.1346
7000 21.9124 10521.4 -3.45784 8.66582 -252.108
8000 21.9113 10519.8 -3.45722 8.66719 330.966
9000 21.9078 10514.8 -3.45884 8.67126 1.46787
10000 21.9089 10516.2 -3.45861 8.67002 25.7614
11000 21.911 10519.3 -3.45804 8.66754 -212.361
12000 21.9103 10518.3 -3.45798 8.66829 82.0089
13000 21.9124 10521.3 -3.45672 8.66587 282.795
14000 21.9142 10523.9 -3.45694 8.66374 -117.617
15000 21.9113 10519.7 -3.45835 8.66722 -306.56
16000 21.9122 10521.1 -3.4571 8.66601 97.1655
17000 21.9114 10519.9 -3.45737 8.66701 134.963
18000 21.9138 10523.3 -3.45688 8.66419 29.7051
19000 21.9141 10523.8 -3.45707 8.66377 -145.185
20000 21.9073 10513.9 -3.45901 8.6719 70.1415
21000 21.9099 10517.7 -3.45835 8.66882 -32.0882
22000 21.9103 10518.3 -3.45825 8.66834 -79.9903
23000 21.9097 10517.4 -3.45828 8.66904 -46.3518
24000 21.9063 10512.6 -3.4587 8.67308 351.72
25000 21.9112 10519.6 -3.45771 8.66728 3.24963
26000 21.9111 10519.5 -3.45825 8.66736 -244.869
27000 21.9114 10519.9 -3.45741 8.66697 79.1099
28000 21.9126 10521.7 -3.45703 8.66554 -75.6965
29000 21.9095 10517.2 -3.45861 8.66923 -169.833
30000 21.9097 10517.5 -3.45826 8.66908 20.521
