# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-05 0.441792
200 0.0001505 0.579145
300 0.0002505 0.540413
400 0.0003505 0.547834
500 0.0004505 0.672538
600 0.0005505 0.622133
700 0.0006505 0.496644
800 0.0007505 0.50701
900 0.0008505 0.336984
1000 0.0009505 0.366517
1100 0.0010505 0.449367
1200 0.0011505 0.356621
1300 0.0012505 0.427788
1400 0.0013505 0.594517
1500 0.0014505 0.675375
1600 0.0015505 0.687544
1700 0.0016505 0.613238
1800 0.0017505 0.52166
1900 0.0018505 0.505294
2000 0.0019505 0.615806
2100 0.0020505 0.47718
2200 0.0021505 0.370654
2300 0.0022505 0.375725
2400 0.0023505 0.469355
2500 0.0024505 0.492308
2600 0.0025505 0.602047
2700 0.0026505 0.660917
2800 0.0027505 0.667846
2900 0.0028505 0.780457
3000 0.0029505 0.685005
3100 0.0030505 0.554162
3200 0.0031505 0.565763
3300 0.0032505 0.51956
3400 0.0033505 0.545247
3500 0.0034505 0.497037
3600 0.0035505 0.472836
3700 0.0036505 0.50165
3800 0.0037505 0.631441
3900 0.0038505 0.672593
4000 0.0039505 0.752805
4100 0.0040505 0.704393
4200 0.0041505 0.667879
4300 0.0042505 0.68209
4400 0.0043505 0.638577
4500 0.0044505 0.579356
4600 0.0045505 0.584836
4700 0.0046505 0.566488
4800 0.0047505 0.606432
4900 0.0048505 0.61442
5000 0.0049505 0.571878
5100 0.0050505 0.604509
5200 0.0051505 0.681786
5300 0.0052505 0.771814
5400 0.0053505 0.751888
5500 0.0054505 0.728406
5600 0.0055505 0.674811
5700 0.0056505 0.617652
5800 0.0057505 0.618988
5900 0.0058505 0.618926
6000 0.0059505 0.64731
6100 0.0060505 0.647986
6200 0.0061505 0.741767
6300 0.0062505 0.687016
6400 0.0063505 0.609095
6500 0.0064505 0.713486
6600 0.0065505 0.761417
6700 0.0066505 0.840348
6800 0.0067505 0.862615
6900 0.0068505 0.752818
7000 0.0069505 0.736266
7100 0.0070505 0.675353
7200 0.0071505 0.6019
7300 0.0072505 0.59068
7400 0.0073505 0.645111
7500 0.0074505 0.750421
7600 0.0075505 0.796981
7700 0.0076505 0.857975
7800 0.0077505 0.768884
7900 0.0078505 0.829964
8000 0.0079505 0.87502
8100 0.0080505 0.773597
8200 0.0081505 0.770796
8300 0.0082505 0.67946
8400 0.0083505 0.603541
8500 0.0084505 0.62951
8600 0.0085505 0.732455
8700 0.0086505 0.723637
8800 0.0087505 0.800699
8900 0.0088505 0.88378
9000 0.0089505 0.935085
9100 0.0090505 0.915647
9200 0.0091505 0.826838
9300 0.0092505 0.713856
9400 0.0093505 0.777169
9500 0.0094505 0.755813
9600 0.0095505 0.596576
9700 0.0096505 0.644363
9800 0.0097505 0.687642
9900 0.0098505 0.841668
10000 0.0099505 0.88777
10100 0.0100505 0.933339
10200 0.0101505 0.936228
10300 0.0102505 0.954165
10400 0.0103505 1.02546
10500 0.0104505 0.827451
10600 0.0105505 0.810687
10700 0.0106505 0.761913
10800 0.0107505 0.772446
10900 0.0108505 0.773904
11000 0.0109505 0.771419
11100 0.0110505 0.7935
11200 0.0111505 0.873779
11300 0.0112505 0.973097
11400 0.0113505 0.969286
11500 0.0114505 0.99131
11600 0.0115505 0.999362
11700 0.0116505 0.950644
11800 0.0117505 0.890728
11900 0.0118505 0.772126
12000 0.0119505 0.772955
12100 0.0120505 0.801032
12200 0.0121505 0.862458
12300 0.0122505 0.896231
12400 0.0123505 0.951895
12500 0.0124505 0.984207
12600 0.0125505 1.11078
12700 0.0126505 1.04537
12800 0.0127505 0.9741
12900 0.0128505 0.885516
13000 0.0129505 0.906726
13100 0.0130505 0.898885
13200 0.0131505 0.842539
13300 0.0132505 0.824319
13400 0.0133505 0.797633
13500 0.0134505 0.919675
13600 0.0135505 0.995349
13700 0.0136505 0.967497
13800 0.0137505 1.02281
13900 0.0138505 1.00385
14000 0.0139505 1.04895
14100 0.0140505 1.01666
14200 0.0141505 0.953353
14300 0.0142505 0.872329
14400 0.0143505 0.903095
14500 0.0144505 0.955972
14600 0.0145505 0.982111
14700 0.0146505 0.914454
14800 0.0147505 0.919241
14900 0.0148505 1.00699
15000 0.0149505 1.08979
15100 0.0150505 1.06945
15200 0.0151505 0.95982
15300 0.0152505 1.04515
15400 0.0153505 1.08784
15500 0.0154505 1.07577
15600 0.0155505 1.02632
15700 0.0156505 0.936288
15800 0.0157505 1.00306
15900 0.0158505 1.04023
16000 0.0159505 0.998974
16100 0.0160505 0.93443
16200 0.0161505 0.987737
16300 0.0162505 1.12473
16400 0.0163505 1.12341
16500 0.0164505 1.14162
16600 0.0165505 1.04425
16700 0.0166505 1.13446
16800 0.0167505 1.13213
16900 0.0168505 1.07551
17000 0.0169505 0.985139
17100 0.0170505 0.951917
17200 0.0171505 0.979142
17300 0.0172505 1.02739
17400 0.0173505 1.1475
17500 0.0174505 1.09945
17600 0.0175505 1.14936
17700 0.0176505 1.1931
17800 0.0177505 1.26997
17900 0.0178505 1.15578
18000 0.0179505 1.12816
18100 0.0180505 1.07576
18200 0.0181505 1.01278
18300 0.0182505 1.00594
18400 0.0183505 0.998283
18500 0.0184505 1.11549
18600 0.0185505 1.20366
18700 0.0186505 1.25751
18800 0.0187505 1.25956
18900 0.0188505 1.24645
19000 0.0189505 1.23825
19100 0.0190505 1.19969
19200 0.0191505 1.16816
19300 0.0192505 1.06494
19400 0.0193505 1.04814
19500 0.0194505 1.14202
19600 0.0195505 1.09855
19700 0.0196505 1.14207
19800 0.0197505 1.21385
19900 0.0198505 1.25548
20000 0.0199505 1.25046
20100 0.0200505 1.32014
20200 0.0201505 1.3348
20300 0.0202505 1.30553
20400 0.0203505 1.19488
20500 0.0204505 1.17955
20600 0.0205505 1.12945
20700 0.0206505 1.16363
20800 0.0207505 1.16209
20900 0.0208505 1.27885
21000 0.0209505 1.29386
