# Time-averaged data for fix msd_out
# TimeStep c_msd_all[4]
50000 1.58927e-35
50100 0.184501
50200 0.389922
50300 0.578102
50400 0.768479
50500 0.96009
50600 1.1706
50700 1.36498
50800 1.56087
50900 1.75677
51000 1.97409
51100 2.14418
51200 2.35287
51300 2.57416
51400 2.80009
51500 2.97669
51600 3.17831
51700 3.3998
51800 3.58552
51900 3.80141
52000 4.03005
52100 4.25478
52200 4.4635
52300 4.69968
52400 4.87997
52500 5.03711
52600 5.26924
52700 5.4251
52800 5.64144
52900 5.80727
53000 6.00536
53100 6.25744
53200 6.48369
53300 6.67954
53400 6.94215
53500 7.09647
53600 7.26685
53700 7.4028
53800 7.56002
53900 7.77699
54000 7.94628
54100 8.16026
54200 8.40315
54300 8.60167
54400 8.71007
54500 8.85373
54600 9.02078
54700 9.23402
54800 9.4409
54900 9.61402
55000 9.71034
55100 9.83888
55200 10.0359
55300 10.1778
55400 10.421
55500 10.6332
55600 10.7884
55700 10.9807
55800 11.1568
55900 11.3764
56000 11.5034
56100 11.6928
56200 11.8728
56300 12.0749
56400 12.2566
56500 12.4805
56600 12.7185
56700 12.8225
56800 12.9989
56900 13.1272
57000 13.2478
57100 13.3888
57200 13.5901
57300 13.7845
57400 13.955
57500 14.1488
57600 14.3284
57700 14.424
57800 14.541
57900 14.593
58000 14.7459
58100 15.0324
58200 15.1446
58300 15.3807
58400 15.4988
58500 15.7543
58600 15.9285
58700 16.1422
58800 16.3481
58900 16.5542
59000 16.7709
59100 17.0454
59200 17.2933
59300 17.553
59400 17.7686
59500 17.9657
59600 18.2548
59700 18.4269
59800 18.5989
59900 18.7782
60000 18.9917
60100 19.2098
60200 19.3803
60300 19.6015
60400 19.8238
60500 20.0579
60600 20.2603
60700 20.4637
60800 20.6695
60900 20.8275
61000 21.04
61100 21.2537
61200 21.5089
61300 21.7904
61400 22.067
61500 22.2968
61600 22.5264
61700 22.7611
61800 22.9902
61900 23.0751
62000 23.2493
62100 23.4722
62200 23.6972
62300 23.983
62400 24.0881
62500 24.2384
62600 24.4727
62700 24.652
62800 24.8015
62900 24.9214
63000 25.2247
63100 25.4408
63200 25.6037
63300 25.8399
63400 25.9449
63500 26.0981
63600 26.2994
63700 26.4561
63800 26.6689
63900 26.8268
64000 27.0153
64100 27.254
64200 27.4502
